FIPS,LCSPP21
30059,402.21
30061,402.21
30063,403.85
30065,354.88
30067,402.21
30069,402.21
30071,402.21
30073,402.21
30075,402.21
30077,402.21
30079,402.21
30081,402.21
30083,402.21
30085,402.21
30087,402.21
30089,402.21
30091,402.21
30093,420.18
30095,407.11
30097,354.88
30099,420.18
30101,402.21
30103,402.21
30105,402.21
30107,402.21
30109,402.21
30111,354.88
31001,644.18
31003,644.18
31005,688.69
31007,688.69
31009,644.18
31011,644.18
31013,688.69
31015,644.18
31017,688.69
31019,519.14
31021,465.83
31023,519.14
31025,487.75
31027,644.18
31029,688.69
31031,688.69
31033,688.69
31035,644.18
31037,519.14
31039,519.14
31041,519.14
31043,644.18
31045,688.69
31047,519.14
31049,688.69
31051,644.18
31053,466.18
31055,466.18
31057,688.69
31059,487.75
31061,644.18
31063,688.69
31065,644.18
31067,605.23
31069,688.69
31071,644.18
31073,644.18
31075,688.69
31077,519.14
31079,519.14
31081,519.14
31083,644.18
31085,688.69
31087,688.69
31089,644.18
31091,688.69
31093,519.14
31095,605.23
31097,487.75
31099,519.14
31101,688.69
31103,644.18
31105,688.69
31107,644.18
31109,488.12
31111,688.69
31113,688.69
31115,644.18
31117,688.69
31119,644.18
31121,644.18
31123,688.69
31125,519.14
31127,487.75
31129,519.14
31131,487.75
31133,487.75
31135,688.69
31137,644.18
31139,644.18
31141,644.18
31143,644.18
31145,688.69
31147,605.23
31149,644.18
31151,487.75
31153,466.18
31155,466.18
31157,688.69
31159,487.75
31161,688.69
31163,519.14
31165,688.69
31167,644.18
31169,487.75
31171,688.69
31173,578.03
31175,519.14
31177,466.18
31179,644.18
31181,644.18
31183,644.18
31185,605.23
32001,509.75
32003,279.65
32005,427.75
32007,509.75
32009,509.75
32011,509.75
32013,509.75
32015,509.75
32017,509.75
32019,427.75
32021,509.75
32023,279.65
32027,509.75
32029,427.75
32031,367.54
32033,509.75
32510,427.75
33001,271.53
33003,271.53
33005,271.53
33007,271.53
33009,271.53
33011,271.53
33013,271.53
33015,271.53
33017,271.53
33019,271.53
34001,358.39
34003,358.39
34005,358.39
34007,358.39
34009,358.39
34011,358.39
34013,358.39
34015,358.39
34017,358.39
34019,358.39
34021,358.39
34023,358.39
34025,360.91
34027,358.39
34029,360.91
34031,358.39
34033,358.39
34035,358.39
34037,358.39
34039,358.39
34041,358.39
35001,341.76
35003,418.78
35005,418.78
35006,418.78
35007,418.78
35009,418.78
35011,418.78
35013,366.92
35015,418.78
35017,418.78
35019,418.78
35021,418.78
35023,418.78
35025,418.78
35027,418.78
35028,418.78
35029,418.78
35031,418.78
35033,418.78
35035,418.78
35037,418.78
35039,418.78
35041,418.78
35043,341.76
35045,353.13
35047,418.78
35049,414.98
35051,418.78
35053,418.78
35055,418.78
35057,341.76
35059,418.78
35061,341.76
37003,498.91
37017,415.54
37019,464.16
37021,526.58
37023,498.91
37027,498.91
37035,498.91
37047,464.16
37051,415.54
37057,489.7
37059,489.7
37061,464.16
37067,489.7
37069,410.46
37081,525.96
37085,415.54
37087,526.58
37089,526.58
37093,415.54
37097,498.91
37099,526.58
37101,410.46
37111,526.58
37119,494.91
37129,464.16
37135,472.35
37141,464.16
37151,525.96
37153,415.54
37155,415.54
37157,525.96
37161,526.58
37163,415.54
